Player,Nation,Pos,Squad,Tournament,In/Out,League,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
I. Winter,Danan Seekeeling,DF,Fanatical Outlaws,No,No,A,27,1991,13,0.07,0.77,0.39,40.03,0.84,0.31,0.06,0.28,7.28,-0.1,-0.03,0.02,0.22,0.1,0.08,-0.09,-0.13,27.62,37.28,74.07,621.05,220.72,7.74,9.3,82.06,13.61,15.91,86.1,5.97,11.05,54.14,-0.04,0.01,0.06,-0.03,1.91,0.11,0.07,2.2,1.41,0.93,1.01,0.29,0.07,0.55,1.96,23.1,1.58,8.79,2.97,34.47,7.02,1.64,0.17,2.07,0.58,-0.01,1.46,1.09,2.55,7.19,0.04,,,,,,,,,,,,,,,,,,,
P. Nakubulwa,Dosqaly,DF,Fanatical Outlaws,No,Yes,A,22,1997,30.77,0.14,0.41,0.12,40.07,0.55,0.29,0.13,0.52,7.79,-0.09,0.1,0.03,-0.04,-0.02,0.16,0.08,0.08,24.51,30.98,79.66,504.92,183.65,8.67,9.59,90.19,11.09,12.71,86.33,4.37,7.34,60.55,0.1,0.08,-0.08,0.04,1.64,-0.02,-0.08,1.12,1.09,0.61,0.8,0.39,0,0.58,1.07,46.99,0.58,7.91,2.75,34.51,4.99,2.5,0.33,1.55,0.7,-0.02,0.92,1.11,2.09,6.19,0.16,,,,,,,,,,,,,,,,,,,
M. Mahlangu,Imaar Vircoand,DF,Fanatical Outlaws,No,No,A,34,1985,6.53,0.04,0.12,0.04,-0.02,0.09,0.05,-0.05,,12.19,-0.09,0.03,0.09,0.1,0.02,0.04,0.03,-0.07,37.38,49.44,75.81,617.83,280.47,19.81,22.29,89.05,14.6,18.53,77.96,2.83,6.33,45.15,-0.06,0.14,-0.11,0.59,4.24,0.83,0.26,4.27,2.17,1.49,1.34,0.73,0.22,0.66,2.31,26.65,1.61,14.04,4.14,28.9,8.03,3.82,2.19,2.42,0.44,0.04,1.98,1.29,3.56,2.95,0.02,,,,,,,,,,,,,,,,,,,
I. Huber,Lenia Gerdanho,DF,Fanatical Outlaws,No,No,A,25,1993,10.49,-0.04,0.53,0.25,39.91,0.4,0.28,0,0.01,29.28,-0.02,0.08,0,0.09,0.04,-0.03,0.02,-0.07,45.33,56.55,80.34,725,288.79,25.79,28.51,90.47,14.76,18.14,81.34,3.66,6.78,54.82,0.16,0.05,0.04,0.5,2.58,0.58,0.3,3.56,4.17,2.54,2.61,1.21,0.27,1.06,2.82,36.72,1.79,21.38,6.34,29.11,12.32,7.71,1.29,2.87,0.22,-0.05,2.41,1.18,5.38,2.83,0.02,,,,,,,,,,,,,,,,,,,
A. Kobusingye,People's Land of Maneau,DF,Fanatical Outlaws,No,Yes,A,18,2000,4.93,0.03,0.16,0.11,100.06,0.25,0.3,-0.02,-0.1,24.91,0.03,-0.03,-0.06,-0.07,-0.08,0.04,0,-0.02,18.23,32.9,55.35,287.78,151.01,10.96,14.19,78.38,5.55,9.99,55.07,1.71,7.59,21.54,0.1,0.03,0.08,-0.03,0.55,0.48,0.15,1.14,3.93,2.54,3.28,0.59,-0.08,1.47,4.67,30.37,3.19,22.97,6.85,30.41,16.19,5.99,0.8,2.28,0.16,0.02,2.03,0.46,4.2,3.46,-0.08,,,,,,,,,,,,,,,,,,,
F. Kizito,People's Land of Maneau,DF,Fanatical Outlaws,No,Yes,A,19,2000,3.01,-0.07,0.41,0.02,0.04,0.27,0.04,-0.04,,28.38,0.09,0.04,-0.08,0,0,-0.06,0.06,-0.03,37.08,53.79,68.82,649,320.03,21.64,23.67,91.57,10.72,16.32,65.39,3.9,10.21,38.75,-0.07,0.05,-0.14,0.6,4.76,1.41,0.97,5.76,2.73,1.25,1.74,0.76,0.33,1.28,2.06,66.68,0.6,11.96,1.93,16.73,6.34,3.26,2.38,2.74,1.03,0.05,1.7,1.27,3.97,5.26,-0.01,,,,,,,,,,,,,,,,,,,
J. Bala,People's Land of Maneau,DF,Fanatical Outlaws,No,Yes,A,26,1992,24.99,-0.05,0.22,0.08,-0.09,0.15,0.07,-0.04,,21.7,-0.1,0.1,0.08,0.02,-0.07,0,-0.06,0.03,31.87,44.01,72.42,514.82,217.46,16.53,19.28,86.26,11.77,16.33,72.46,2.54,5.74,44.72,0.05,0.1,0.1,0.92,1.75,1.05,0.52,2.36,3.46,1.86,2.51,0.67,0.23,1.37,2.62,50.75,1.3,13.04,3.96,29.79,7.86,3.38,1.86,1.71,0.28,0.04,1.35,0.75,4.28,3.68,-0.03,,,,,,,,,,,,,,,,,,,
L. Rezaei,People's Land of Maneau,DF,Fanatical Outlaws,No,Yes,A,29,1989,30.26,0.03,0.5,0.07,27.82,0.58,0.1,0.1,0.57,20.14,0.16,0.03,0.04,0.1,0.03,0.14,0.07,0.03,41.07,55.44,73.88,713.87,353.24,20.43,22.44,91.13,15.55,19.71,79.09,4.42,10.45,41.61,-0.1,0.14,0,0.85,3.75,0.77,0.42,4.09,1.62,1.05,0.93,0.65,0.15,0.87,2.05,40.63,1.19,11.73,3.91,33.27,6.19,4.25,1.25,2.14,0.31,-0.07,1.83,0.53,2.11,2.99,-0.03,,,,,,,,,,,,,,,,,,,
J. Teko,Sobianitedrucy,DF,Fanatical Outlaws,No,Yes,A,31,1988,30.93,0.01,0.4,0.08,28.54,0.48,0.09,0.11,0.45,9.71,-0.07,0,0.08,-0.01,0.1,0.09,0,0.11,24.04,30.46,78.77,531.69,169.72,6.96,7.77,89.35,12.1,14.11,85.97,4.74,8.12,58.72,-0.08,-0.05,0,0.13,1.37,0.09,0.03,1.09,1.36,1.17,1,0.35,0.2,0.38,1.24,38.99,0.64,10.18,3.84,37.32,7.26,2.32,0.54,2.54,1.15,-0.03,1.38,0.65,2.2,5.47,-0.03,,,,,,,,,,,,,,,,,,,
D. Oren,Central Diasongo,FW,Fanatical Outlaws,No,No,A,25,1994,25.14,0.32,2.22,1.05,49.11,2.25,1.11,0.03,0.35,10.31,-0.1,-0.07,-0.05,0.39,0.27,0.21,-0.08,0.01,20.62,30.39,68.05,292.58,58.7,12.34,17.36,71.64,5.92,8.8,67.93,1.32,1.97,67.21,0.12,0.02,-0.06,0.97,1.96,0.53,0.02,1.72,0.9,0.64,0.36,0.31,0.13,0.12,1.17,10.6,0.91,22.74,4.91,22,1.74,11.96,8.96,1.36,0.21,0.05,1.16,0.28,1.12,1.05,0.04,,,,,,,,,,,,,,,,,,,
