Player,Nation,,Pos,Squad,Tournament,In/Out,League,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1.3,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Top5
I. Winter,Danan Seekeeling,,DF,Fanatical Outlaws,No,No,A,28,1991,13.38,0.04,0.67,0.21,24.96,0.66,0.07,0.14,0.59,9.67,-0.1,0.08,-0.08,0.01,-0.02,0,0.01,0,26.79,34.98,76.9,646.77,247.8,5.79,6.54,87.49,14.04,16.06,87.87,6.61,11.64,57.88,-0.05,0.08,0.03,0.02,2.48,0.03,0.05,2.26,1.7,1.01,1.58,0.3,-0.08,1,1.87,50.03,1,10.15,3.3,33.7,6.65,3.37,0.18,1.88,0.42,0.08,1.44,1.14,2.81,6.65,0.06, , , , , , , , , , , , , , , , , , , ,No
J. Akello,Bernepamar,,FWMF,Fanatical Outlaws,Yes,Yes,A,30,1989,4.3,-0.03,1.72,0.58,28.59,1.73,0.53,-0.06,-0.08,19.51,0.03,0.04,0.08,0.2,0.04,0.16,-0.11,-0.08,29.54,37.49,78.92,513.74,139,16.66,18.78,88.53,8.51,11.84,71.91,4.02,5.81,70.81,0.28,0.15,0.07,1.2,2.42,1.37,0.56,2.55,1.51,0.96,0.72,0.5,0.15,0.23,1.52,16.71,1.12,13.22,5.09,37.46,5.22,5.09,3.03,1.75,-0.03,-0.09,1.65,0.77,2.08,0.15,0.02, , , , , , , , , , , , , , , , , , , ,No
C. Mukiibi,Bernepamar,1,FW,Marvelous Heels,No,Yes,D,24,1996,-0.08,-0.03,-0.09,-0.09,,0.06,0.1,,,,0.07,-0.09,0.08,0.06,-0.08,,0.07,-0.1,2.08,1.95,100,27.1,15.01,1.04,0.94,99.98,0.94,1.02,99.92,-0.09,-0.05,,-0.06,-0.06,-0.02,0.01,0.02,0.08,-0.08,-0.07,0.04,0,-0.07,-0.05,-0.02,-0.05,-0.03,,-0.03,3.03,2.04,66.76,0.99,1.08,1.1,0.94,0.1,0.03,1,0.07,-0.04,1.04,0.03, , , , , , , , , , , , , , , , , , , ,No
K. Mayanja,Bernepamar,,FWMF,Marvelous Heels,Yes,Yes,D,27,1993,20.75,0.28,3.31,1.19,33.29,3.4,1.1,0.08,0.2,20.63,0.63,0.04,-0.05,0.32,0.19,0.14,-0.03,-0.03,857.01,1149.08,74.6,17113.06,5314.96,323.95,393.1,82.42,379.04,462.95,81.93,133.96,235.07,56.96,12.07,9.6,2.37,74.91,87.03,56.06,6,154.08,1.16,0.86,0.1,0.78,0.2,0.31,0.9,25,0.71,19.85,5.34,26.93,2.24,8.94,8.61,0.89,0,-0.03,0.95,0.23,1.24,0.32,0.03, , , , , , , , , , , , , , , , , , , ,No
H. Sinaga,Bernepamar,,DF,Marvelous Coyotes,Yes,Yes,RFL,23,1996,16.45,0.03,1.03,0.31,25.03,1.02,0.31,-0.05,-0.03,21.96,-0.02,0.04,0.03,0.08,0.05,0,0.04,0,81.2,89.86,90.19,1329.58,369.09,42.5,44.79,94.97,31.71,34.69,92.12,5.73,8.43,68.3,0.04,0.07,0,0.69,6.54,0.93,-0.05,5.69,1.34,0.76,0.55,0.5,0.21,0.81,1.62,49.93,0.89,9.12,2.68,30.27,3.38,3.82,1.79,1.57,0.28,-0.1,1.3,1.26,2.58,3.05,-0.06, , , , , , , , , , , , , , , , , , , ,No
,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q. Hor,Byasier Pujan,,DF,Fighting Cougars,Yes,Yes,A,28,1992,25.27,0.12,0.65,0.18,28.65,0.56,0.1,-0.01,0.23,15.57,0.1,0.08,-0.02,0,0.08,0.16,0.01,0.02,45.54,58.89,77.33,900.39,358.97,16.4,18.67,87.47,23.09,28.1,81.77,5.89,10.95,54.25,0.09,0.05,-0.03,0.74,3.86,1.3,0.48,4.87,2.95,1.7,1.82,0.82,0.29,1.36,2.48,52.43,1.29,12.21,3.63,29.51,5.66,4.81,1.98,1.37,0.13,0.01,1.26,1.36,4.5,3.4,-0.06, , , , , , , , , , , , , , , , , , , ,No
I. Azulay,Byasier Pujan,1,MF,Fighting Cougars,No,Yes,A,28,1991,2.3,0.05,1.63,0.82,49.94,1.68,0.95,0.03,0.1,17,-0.01,-0.09,0.02,-0.03,-0.06,0.09,0.01,0.06,30.34,39.9,76.09,590.01,179.94,10.45,13.82,75.73,16.33,20.05,81.33,3.24,4.63,72.61,0.05,-0.04,-0.04,0.04,3.02,2.08,0.4,5.51,2.85,2,0.06,3,0,0.84,2.07,39.92,1.23,12.56,5.34,43.25,5.45,6.22,0.87,0.82,0,-0.04,0.81,0.76,3.72,-0.04,0.08, , , , , , , , , , , , , , , , , , , ,No
I. Huber,Lenia Gerdanho,,DFFW,Fanatical Outlaws,No,No,A,26,1993,11.24,0.07,0.5,0.11,33.26,0.45,0.26,-0.1,-0.05,21.32,-0.09,0.09,-0.01,0.08,-0.07,0.01,-0.02,0.03,39.59,49.33,80.09,670.81,227.73,21.92,24.35,90.08,13.54,17.04,79.53,3.69,5.83,62.19,0.24,0.21,0.02,1.15,2.18,1.45,0.82,3.47,1.76,1.26,1.37,0.27,0.08,0.91,3.1,32.46,2.1,12.03,3.83,30.99,7.14,3.59,1.56,3.16,0.05,0.01,3.05,0.63,2.25,1.4,-0.03, , , , , , , , , , , , , , , , , , , ,No
Z. Okon,Byasier Pujan,1,DF,Green Fleet,No,Yes,A,22,1998,0.93,-0.09,1.03,0.08,0.01,1.13,0.07,0.05,,28.45,-0.05,-0.09,0.02,-0.03,0.04,0.09,0.06,0.01,72.14,83.38,86.61,1188.9,286.72,33.36,37.77,88.28,35.55,37.89,94.05,3.43,6.58,50.04,-0.07,0.24,-0.24,2.3,4.51,1.05,1.03,1.13,3.37,1.06,2.3,1.05,0.07,1.03,1.07,100,-0.06,7.81,2.32,28.53,3.27,4.52,0.01,1.01,-0.02,0.04,1.08,1.14,4.36,1.01,-0.06, , , , , , , , , , , , , , , , , , , ,No
