Player,Nation,Pos,DF,FW,MF,GK,Squad,Top5,Bot5,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1-Mar,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
G. Adilovi?,Bernepamar,DF,1,0,0,0,Fanatical Outlaws,No,No,18,2002,5.34,-0.02,0.34,0.25,49.91,0.34,0.28,0.03,-0.06,7,0.06,-0.09,-0.05,0.03,0.02,0.09,0,-0.06,54.57,59.23,92,1127.58,306.18,15.64,16.24,96.53,31.79,33.29,95.4,7.09,9.39,76.01,-0.01,0.05,-0.05,0.1,3,0.04,-0.02,1.35,0.85,0.51,0.66,0.23,0.02,0.6,1.41,42.82,0.81,10.95,2.93,27.62,8.09,2.66,0.14,2.59,1.25,0.03,1.24,2.12,2.99,5.25,-0.02,,,,,,,,,,,,,,,,,,,
J. Mizrahi,Bernepamar,DF,1,0,0,0,Fanatical Outlaws,No,No,21,1999,3.97,-0.04,-0.03,-0.01,0,-0.01,-0.06,0,0,0,0.09,-0.07,-0.04,0.02,0.02,0,0.02,0.05,45.51,54.45,83.91,789.71,182.57,20.25,22.21,90.78,20.78,23.67,87.9,3.67,6.11,58.2,-0.1,-0.08,-0.08,0.35,0.72,0.51,0.25,2.33,2.85,1.8,1.95,0.21,0.45,1.34,2.01,62.52,0.82,10.45,5.21,48.84,4.53,4.35,1.61,1.81,-0.05,0.05,1.88,2.74,5.55,2.33,0.02,,,,,,,,,,,,,,,,,,,
L. Ayugi,Bernepamar,DF,1,0,0,0,Fanatical Outlaws,No,No,28,1992,5.37,-0.06,0.85,0.19,20.07,0.85,0.23,0.01,0.05,17.36,0.01,-0.1,0.06,0.11,-0.02,-0.02,-0.05,-0.11,45.6,54.68,83.34,823.44,241.38,21.59,24.28,88.44,17.26,19.39,88.3,5.66,8.18,69.76,0.19,0.07,0.06,0.92,1.99,0.77,-0.07,3.16,1.03,0.53,1.09,0.07,0.02,0.37,1.49,25.06,1.1,8.62,2.2,26.17,5.4,1.94,1.31,2.29,0.04,0.02,2.26,2.81,3.96,1.26,0.11,,,,,,,,,,,,,,,,,,,
X. Krawczyk,Bernepamar,DF,1,0,0,0,Fanatical Outlaws,No,No,24,1996,5.35,-0.04,-0.02,-0.02,0,0.05,-0.06,0,0,0,-0.05,0.06,0.09,0.02,0.05,0,-0.07,0.05,66.04,71.43,92.24,1336.26,416.59,22.7,23.15,97.61,32.55,34.13,95.67,10.2,13.28,77.05,-0.03,-0.08,0.06,0.06,5.77,0.03,0,5.25,1.35,1.2,1.34,0.08,0.05,0.32,0.79,50.06,0.33,8.79,3.27,36.3,5.68,3.17,-0.09,2.4,1.24,0,1.05,2.52,3.81,5.75,-0.01,,,,,,,,,,,,,,,,,,,
Y. Salihovi?,Bernepamar,DF,1,0,0,0,Fanatical Outlaws,No,No,29,1991,1.67,-0.08,-0.01,0.03,0,0.08,0.09,0,0,0,0.09,0.09,0.07,0.03,-0.03,0,0.07,-0.1,57.5,60.05,96.17,1372.89,169.35,9.42,10.07,94.13,32.32,32.43,100.06,15.34,17.18,89.71,0.07,0,-0.08,-0.06,0.05,-0.04,-0.07,0.51,0.54,0.04,0.51,0.09,-0.07,-0.09,0.07,0,0.02,3.54,0.58,16.71,3.61,-0.05,0.02,0.62,0.62,-0.03,-0.01,1.16,1.82,4.73,0.03,,,,,,,,,,,,,,,,,,,
D. Lal,Bernepamar,FW,0,1,0,0,Fanatical Outlaws,No,No,25,1995,4.75,0.46,2.19,1.24,54.41,2.26,1.25,0.2,0.26,18.05,-0.09,-0.02,0.06,0.18,0.19,0.13,0.19,0.1,20.23,23.94,84.27,278.09,33.08,14.32,15.75,90.8,3.73,4.72,78.31,1.55,1.62,87.5,0.22,-0.03,0.09,0.51,0.99,0.48,-0.06,1.52,0.91,0.39,0.34,0.19,0.2,-0.01,0.9,0.07,0.77,17.16,3.1,18.38,1.79,8.97,6.16,0.37,0.04,-0.09,0.45,0.49,1.2,0.31,-0.02,,,,,,,,,,,,,,,,,,,
E. Twinamatsiko,Bernepamar,FW,0,1,0,0,Fanatical Outlaws,No,No,24,1996,0.01,0.1,-0.1,-0.03,0,-0.01,-0.01,0,0,0,-0.02,0.07,-0.08,-0.05,-0.07,0,-0.04,-0.09,40.01,40.01,100.04,700.09,410.02,10.04,10.09,100.08,29.98,30.06,100.1,-0.06,0.06,0,0,-0.04,0.02,-0.06,0.01,0.1,0.06,0.07,-0.05,-0.05,-0.04,0.1,0.09,0.08,-0.04,0,-0.09,-0.09,-0.03,0,-0.07,0.05,0.09,-0.05,-0.1,-0.07,0.04,0.02,0.02,0.05,-0.04,,,,,,,,,,,,,,,,,,,
J. Akello,Bernepamar,FW,0,1,0,0,Fanatical Outlaws,No,No,31,1989,4.9,0.43,2.09,1.02,50.09,2.04,1.06,0.15,0.48,13.21,0.03,-0.07,-0.1,0.29,0.45,0.15,0.03,-0.04,24.14,33.07,72.77,381.32,91.22,12.91,15.19,85.02,8.36,10.72,77.49,2.12,3.3,62.51,0.49,0.07,0.35,1.3,2.14,1.42,0.15,2.63,0.52,0.43,-0.09,0.7,-0.09,0.01,0.53,-0.05,0.55,13.21,3.7,27.79,2.39,8,2.94,0.83,-0.07,-0.01,0.91,0.3,0.72,0.66,-0.06,,,,,,,,,,,,,,,,,,,
R. Velásquez,Bernepamar,FW,0,1,0,0,Fanatical Outlaws,No,No,23,1997,1.55,0.09,0.53,-0.07,-0.04,0.64,-0.04,0.07,0,11.97,0.03,-0.09,-0.01,0.17,0.3,0.3,-0.2,-0.21,36.25,47.46,76.33,524.93,91.21,20.61,25.08,82.54,10.65,13.08,81.02,2.48,3.76,66.7,0.02,-0.02,-0.05,1.24,1.22,1.2,0.04,3.77,0.63,0.67,0.07,0.61,-0.01,0.66,1.27,50.04,0.6,18.14,3.05,17.29,5.02,9.91,3.05,0.05,-0.05,-0.07,0.04,-0.01,0.72,0.54,-0.07,,,,,,,,,,,,,,,,,,,
V. Opiyo,Bernepamar,FW,0,1,0,0,Fanatical Outlaws,No,No,23,1997,0.23,4.94,9.98,5.03,50.05,12.03,5.95,0.58,0.98,8.94,-0.06,-0.1,0.04,3.47,3.46,0.37,1.59,1.56,19.99,25.09,80.01,214.92,55.03,20.06,19.95,100.05,0.05,0.05,0,0.09,4.97,0.1,0,0.5,-0.51,4.95,0.05,-0.08,0.06,-0.1,-0.04,-0.03,0.09,0,-0.07,-0.1,-0.03,0,-0.02,25.06,14.91,60.04,0.09,-0.08,25.05,0.05,0.02,0.04,0.03,0.06,0.01,0.05,0.08,,,,,,,,,,,,,,,,,,,
